node,degree
imgt:MOA_248_oncology_blocking,11
imgt:Multiple_sclerosis_(MS),11
imgt:Myasthenia_Gravis_(MG),11
imgt:Product_Biogen_Inc_161,11
imgt:Product_CureTech_453,11
imgt:Product_Regeneron_Pharmaceuticals_Inc_214,11
imgt:Product_Roche_F_Hoffmann-La_Roche_Ltd_161,11
imgt:Systemic_lupus_erythematosus_(SLE),11
imgt:cDNA,11
imgt:mAb_40,11
imgt:mAb_80,11
imgt:mRNA,11
imgt:pegol,11
imgt:sequence_unit,11
imgt:transcript_unit,11
HGNC:11905,10
HGNC:6307,10
HGNC:905,10
imgt:Agonist,10
imgt:CD8A_(CO-TM)-TNFRSF9_(CY1)-CD247_(CY2)_(1:1),10
imgt:Cancers_lung,10
imgt:FPIA_[PROTEIN]2-FC,10
imgt:Glioblastoma,10
imgt:Glioblastoma_multiforme_(GBM),10
imgt:IG-Heavy-Alpha,10
imgt:IG-Heavy-Alpha-1-IGHA1,10
imgt:IG-Heavy-Alpha-2-IGHA2,10
imgt:IG-Heavy-Delta-IGHD,10
imgt:IG-Heavy-Epsilon-IGHE,10
imgt:IG-Heavy-Gamma-1-IGHG1,10
imgt:IG-Heavy-Gamma-2-IGHG2,10
imgt:IG-Heavy-Gamma-2-a-IGHG2A,10
imgt:IG-Heavy-Gamma-2-b-IGHG2B,10
imgt:IG-Heavy-Gamma-2-c-IGHG2C,10
imgt:IG-Heavy-Gamma-3-IGHG3,10
imgt:IG-Heavy-Gamma-4-IGHG4,10
imgt:Ig(G1-kappa_G1-lambda2),10
imgt:IgG1 - kappa - 4lys - drug,10
imgt:ImClone_Systems_Inc,10
imgt:Indium-111_In-111,10
imgt:Inflammation,10
imgt:Iodine-131_I-131,10
imgt:Japan_(MHLW),10
imgt:MOA_913_oncology_blocking,10
imgt:Product_Eli_Lilly_295,10
imgt:Product_Genentech_Inc_161,10
imgt:Product_Genentech_Inc_24,10
imgt:Product_ImClone_Systems_Inc_295,10
imgt:R,10
imgt:Technetium-99m_Tc-99m,10
imgt:Yttrium-90_Y-90,10
imgt:gDNA,10
imgt:gene_unit,10
imgt:linker,10
imgt:mAb_1257,10
imgt:mAb_214,10
imgt:mAb_39,10
imgt:mAb_64,10
imgt:mAb_99,10
imgt:peptidyl_linker,10
HGNC:11529,9
HGNC:1667,9
HGNC:19137,9
HGNC:3791,9
imgt:Bayer_HealthCare_Pharmaceuticals,9
imgt:Cancers_colon,9
imgt:Carcinoma_bladder_cancer_advanced_or_metastatic_urothelial_cancers,9
imgt:GE_Junction_Cancer,9
imgt:Lymphoma_cutaneous_T_cell_(CTCL),9
imgt:MOA_1123_oncology_blocking,9
imgt:MOA_301_immunology_blocking,9
imgt:MacroGenics_Inc,9
imgt:Novartis_Pharmaceuticals_Corp,9
imgt:OncoMed_Pharmaceuticals,9
imgt:Product_Genmab_A/S_194,9
imgt:Product_GlaxoSmithKline_194,9
imgt:Product_Horizon_Therapeutics_plc_553,9
imgt:Product_Kyowa_Hakko_Kirin_366,9
imgt:Product_Merck_&_Co_Inc_626,9
imgt:Product_Merck_Serono_International_SA_512,9
imgt:Product_Novartis_Pharmaceuticals_Corp_194,9
imgt:Product_Roche_F_Hoffmann-La_Roche_Ltd_24,9
imgt:Product_Schering-Plough_626,9
imgt:Product_Viela_Bio_Inc_553,9
imgt:TR-Delta-TRD,9
imgt:ganglioside_GD2_(disialoganglioside_GD2),9
imgt:mAb_1123,9
imgt:mAb_1204,9
imgt:mAb_1248,9
imgt:mAb_238,9
imgt:mAb_294,9
imgt:mAb_295,9
imgt:mAb_424,9
imgt:mAb_498,9
imgt:mAb_526,9
imgt:mAb_528,9
imgt:mAb_659,9
imgt:mAb_771,9
HGNC:11918,8
HGNC:5465,8
HGNC:5528,8
HGNC:7029,8
imgt:(scFv-heavy-kappa)-(scFv-heavy-lambda),8
imgt:Cancers_endometrial_(EC),8
imgt:Cancers_prostate_metastatic,8
imgt:Construct_214,8
imgt:Construct_377,8
imgt:Construct_408,8
imgt:Construct_933,8
imgt:Daiichi_Sankyo_Inc,8
imgt:Gilead,8
imgt:Hairy_cell_leukemia_(HCL),8
imgt:Lymphoma_mantle_cell_(MCL),8
imgt:MOA_1088_oncology_agonist,8
imgt:MOA_1120_oncology_agonist,8
imgt:MOA_1172_oncology_blocking,8
imgt:MOA_1204_oncology_blocking,8
imgt:MOA_1321_oncology_blocking,8
