node,degree
imgt:StudyProduct_Arcus_Biosciences_Inc_Cancers_non-small_cell_lung_(NSCLC)_1071,4
imgt:StudyProduct_Arcus_Biosciences_Inc_Cancers_prostate_1338,4
imgt:StudyProduct_Arcus_Biosciences_Inc_Solid_tumors_1125,4
imgt:StudyProduct_Arcus_Biosciences_Inc_Solid_tumors_1356,4
imgt:StudyProduct_Astellas_Pharma_Inc_Cancers_bladder_772,4
imgt:StudyProduct_AstraZeneca_Acute_lymphocytic_leukemia_(ALL)_198,4
imgt:StudyProduct_AstraZeneca_Cancers_562,4
imgt:StudyProduct_AstraZeneca_Cancers_biliary_tract_528,4
imgt:StudyProduct_AstraZeneca_Cancers_breast_overexpressing_ERBB2_metastatic_722,4
imgt:StudyProduct_AstraZeneca_Cancers_head_and_neck_562,4
imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_1370,4
imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_1418,4
imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_248,4
imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_528,4
imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_722,4
imgt:StudyProduct_AstraZeneca_Cancers_urothelial_(UC)_528,4
imgt:StudyProduct_AstraZeneca_Hairy_cell_leukemia_(HCL)_198,4
imgt:StudyProduct_AstraZeneca_Hepatocellular_carcinoma_(HCC)_248,4
imgt:StudyProduct_AstraZeneca_Hepatocellular_carcinoma_(HCC)_528,4
imgt:StudyProduct_AstraZeneca_Lymphoma_B_cell_101,4
imgt:StudyProduct_AstraZeneca_Melanoma_248,4
imgt:StudyProduct_AstraZeneca_Solid_tumors_722,4
imgt:StudyProduct_Atara_Biotherapeutics_Inc_Cancers_ovarian_582,4
imgt:StudyProduct_Atridia_Pty_Ltd_Solid_tumors_659,4
imgt:StudyProduct_Bayer_AG_Cancers_prostate_metastatic_1139,4
imgt:StudyProduct_Bayer_AG_Solid_tumors_1095,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Age-related_macular_degeneration_(AMD)_neovascular_(wet)_214,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Cancers_975,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Diabetic_macular_edema_214,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Mesothelioma_pleural_malignant_471,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Neoplasms_665,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Solid_tumors_655,4
imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Solid_tumors_656,4
imgt:StudyProduct_BeiGene_Esophageal_Squamous_Cell_Carcinoma_(ESCC)_metastatic_757,4
imgt:StudyProduct_BeiGene_Solid_tumors_1079,4
imgt:StudyProduct_BeiGene_Solid_tumors_1146,4
imgt:StudyProduct_BeiGene_Solid_tumors_757,4
imgt:StudyProduct_BeiGene_Solid_tumors_advanced_or_metastatic_1080,4
imgt:StudyProduct_BerGenBio_AS_Cancers_974,4
imgt:StudyProduct_Berlex_Inc_Kidney_transplant_rejection_11,4
imgt:StudyProduct_Bicara_Therapeutics_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_1616,4
imgt:StudyProduct_BioAtla_LLC_Soft-tissue_sarcoma_(STS)_883,4
imgt:StudyProduct_BioClin_Therapeutics_Inc_Multiple_myeloma_(MM)_891,4
imgt:StudyProduct_BioNTech_SE_Solid_tumors_1119,4
imgt:StudyProduct_Biogen_Inc_Chronic_focal_encephalitis_(CFE)_161,4
imgt:StudyProduct_Biogen_Inc_Chronic_lymphocytic_leukemia_(CLL)_238,4
imgt:StudyProduct_Biogen_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_161,4
imgt:StudyProduct_Biogen_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_238,4
imgt:StudyProduct_Biogen_Inc_Lymphoma_follicular_(FL)_238,4
imgt:StudyProduct_Biogen_Inc_Pemphigus_vulgaris_(PV)_161,4
imgt:StudyProduct_Biogen_Inc_Solid_organ_transplantation_161,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Cancers_non-small_cell_lung_(NSCLC)_1009,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Cancers_small_cell_lung_(SCLC)_133,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Cancers_small_cell_lung_(SCLC)_1580,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Myelodysplastic_syndromes_(MDS)_743,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Solid_tumors_1017,4
imgt:StudyProduct_Boehringer_Ingelheim_Pharmaceuticals_Solid_tumors_588,4
imgt:StudyProduct_Bolt_Biotherapeutics_Inc_ERBB2-positive_malignancies_1369,4
imgt:StudyProduct_Bristol-Myers_Squibb_Acute_myeloid_leukemia_(AML)_1362,4
imgt:StudyProduct_Bristol-Myers_Squibb_Acute_myeloid_leukemia_(AML)_483,4
imgt:StudyProduct_Bristol-Myers_Squibb_BRAF_wild-type_melanoma_metastatic_or_unresectable_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_anal_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_gastric_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_non-small_cell_lung_(NSCLC)_180,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_non-small_cell_lung_(NSCLC)_metastatic_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_small_cell_lung_(SCLC)_180,4
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_small_cell_lung_(SCLC)_metastatic_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Carcinoma_head_and_neck_squamous_cell_(HNSCC)_recurrent_or_metastatic_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_151,4
imgt:StudyProduct_Bristol-Myers_Squibb_ERBB2-positive_malignancies_1369,4
imgt:StudyProduct_Bristol-Myers_Squibb_GE_Junction_Cancer_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Hodgkin_lymphoma_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Melanoma_metastatic_180,4
imgt:StudyProduct_Bristol-Myers_Squibb_Melanoma_metastatic_or_unresectable_781,4
imgt:StudyProduct_Bristol-Myers_Squibb_Mesothelioma_781,4
imgt:StudyProduct_Bristol-Myers_Squibb_Mesothelioma_pleural_malignant_180,4
imgt:StudyProduct_Bristol-Myers_Squibb_Multiple_myeloma_(MM)_291,4
imgt:StudyProduct_Bristol-Myers_Squibb_Renal_cell_carcinoma_(RCC)_180,4
imgt:StudyProduct_Bristol-Myers_Squibb_Renal_cell_carcinoma_(RCC)_424,4
imgt:StudyProduct_Bristol-Myers_Squibb_Solid_tumors_781,4
imgt:StudyProduct_CJSC_Biocad_Melanoma_856,4
imgt:StudyProduct_CJSC_Biocad_Melanoma_metastatic_960,4
imgt:StudyProduct_CJSC_Biocad_Solid_tumors_956,4
imgt:StudyProduct_CJSC_GENERIUM_Cancers_714,4
imgt:StudyProduct_CSPC_Pharmaceutical_Group_Cancers_non-small_cell_lung_(NSCLC)_metastatic_1372,4
imgt:StudyProduct_CStone_Pharmaceuticals_Cancers_non-small_cell_lung_(NSCLC)_1031,4
imgt:StudyProduct_Cancers_non-small_cell_lung_(NSCLC)_metastatic_1372,4
imgt:StudyProduct_Cantargia_AB_Cancers_non-small_cell_lung_(NSCLC)_928,4
imgt:StudyProduct_CatalYm_GmbH_Solid_tumors_1287,4
imgt:StudyProduct_Celgene_corporation_Chronic_lymphocytic_leukemia_(CLL)_874,4
imgt:StudyProduct_Celgene_corporation_Lymphoma_diffuse_large_B_cell_(DLBCL)_874,4
imgt:StudyProduct_Celgene_corporation_Lymphoma_follicular_(FL)_874,4
imgt:StudyProduct_Celgene_corporation_Lymphoma_mantle_cell_(MCL)_874,4
imgt:StudyProduct_Celgene_corporation_Multiple_myeloma_(MM)_1081,4
imgt:StudyProduct_Celgene_corporation_Multiple_myeloma_(MM)_1259,4
imgt:StudyProduct_Celgene_corporation_Multiple_myeloma_(MM)_1313,4
imgt:StudyProduct_Celgene_corporation_Small_lymphocytic_lymphoma_(SLL)_874,4
imgt:StudyProduct_Celldex_Therapeutics_Inc_Cancers_breast_565,4
imgt:StudyProduct_Centocor_Inc_Cancers_colon_119,4
imgt:StudyProduct_Checkpoint_Therapeutics_Cancers_946,4
imgt:StudyProduct_Chinook_Therapeutics_Inc_Multiple_myeloma_(MM)_1347,4
imgt:StudyProduct_Chiron_Corporation_Acute_myeloid_leukemia_(AML)_671,4
imgt:StudyProduct_Chiron_Corporation_Melanoma_metastatic_671,4
imgt:StudyProduct_Chiron_Corporation_Non-Hodgkins_lymphoma_(NHL)_671,4
imgt:StudyProduct_Chiron_Corporation_Renal_cell_carcinoma_(RCC)_671,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Cytokine_Release_Syndrome_(CRS)_96,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Giant_cell_arteritis_96,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Lymphoproliferative_disorder_giant_lymph_node_hyperplasia_(Castlemans_disease)_96,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Polyarticular_Juvenile_Idiopathic_Arthritis_(PJIA)_96,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Systemic_juvenile_idiopathic_athritis_(SJIA)_96,4
imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Systemic_sclerosis_96,4
imgt:StudyProduct_Corvus_Pharmaceuticals_Solid_tumors_1212,4
imgt:StudyProduct_Cytogen_Corp_Cancers_colorectal_(CRC)_138,4
imgt:StudyProduct_Cytogen_Corp_Cancers_ovarian_138,4
imgt:StudyProduct_CytomX_Therapeutics_Inc_Solid_tumors_963,4
imgt:StudyProduct_CytomX_Therapeutics_Inc_Solid_tumors_966,4
imgt:StudyProduct_CytomX_Therapeutics_Inc_Solid_tumors_967,4
imgt:StudyProduct_Cytune_Pharma_SAS_Solid_tumors_advanced_or_metastatic_933,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Adenocarcinoma_gastric_722,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_breast_964,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_breast_overexpressing_ERBB2_metastatic_722,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_gastric_overexpressing_ERBB2_metastatic_722,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_1005,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_1006,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_722,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Renal_cell_carcinoma_(RCC)_1350,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Solid_tumors_1256,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Solid_tumors_722,4
imgt:StudyProduct_Daiichi_Sankyo_Inc_Solid_tumors_overexpressing_ERBB2_metastatic_722,4
imgt:StudyProduct_Debiopharm_Internaltional_SA_Lymphoma_diffuse_large_B_cell_(DLBCL)_602,4
imgt:StudyProduct_Debiopharm_Internaltional_SA_Non-Hodgkins_lymphoma_(NHL)_602,4
imgt:StudyProduct_Dragon_Sail_Pharmaceutical_Co_Ltd_Cancers_1262,4
imgt:StudyProduct_DuPont_Merck_Pharmaceutical_Cancers_small_cell_lung_(SCLC)_133,4
imgt:StudyProduct_EUSA_Pharma_Cancers_prostate_115,4
imgt:StudyProduct_EUSA_Pharma_Neuroblastoma_568,4
imgt:StudyProduct_Eisai_Co_Ltd_Lymphoproliferative_disease_704,4
imgt:StudyProduct_Eisai_Co_Ltd_Solid_tumors_1208,4
imgt:StudyProduct_Eli_Lilly_Cancers_colorectal_(CRC)_metastatic_295,4
imgt:StudyProduct_Eli_Lilly_Cancers_gastric_295,4
imgt:StudyProduct_Eli_Lilly_Cancers_non-small_cell_lung_(NSCLC)_294,4
imgt:StudyProduct_Eli_Lilly_Cancers_non-small_cell_lung_(NSCLC)_295,4
imgt:StudyProduct_Eli_Lilly_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_151,4
imgt:StudyProduct_Eli_Lilly_Hepatocellular_carcinoma_(HCC)_295,4
imgt:StudyProduct_Eli_Lilly_Non-Hodgkins_lymphoma_(NHL)_776,4
imgt:StudyProduct_Eli_Lilly_Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)_1112,4
imgt:StudyProduct_Eli_Lilly_Soft-tissue_sarcoma_(STS)_352,4
imgt:StudyProduct_Eli_Lilly_Solid_tumors_859,4
imgt:StudyProduct_Eli_Lilly_Solid_tumors_955,4
imgt:StudyProduct_EpimAb_Biotherapeutics_Cancers_non-small_cell_lung_(NSCLC)_1207,4
imgt:StudyProduct_Faron_Pharmaceuticals_Oy_Solid_tumors_1002,4
imgt:StudyProduct_FibroGen_Inc_Cancers_pancreatic_554,4
imgt:StudyProduct_FibroGen_Inc_Duchenne_muscular_dystrophy_(DMD)_554,4
imgt:StudyProduct_FibroGen_Inc_Idiopathic_pulmonary_fibrosis_554,4
imgt:StudyProduct_Five_Prime_Therapeutics_Inc_Cancers_gastric_770,4
imgt:StudyProduct_Five_Prime_Therapeutics_Inc_Solid_tumors_1000,4
imgt:StudyProduct_Forty_Seven_Inc_Solid_tumors_916,4
imgt:StudyProduct_Fresenius_Biotech_GmbH_Cancers_gastric_218,4
imgt:StudyProduct_Fudan_University_Cancers_breast_1339,4
imgt:StudyProduct_Fudan_University_Cancers_breast_1340,4
imgt:StudyProduct_Genentech_Inc_Cancers_blood_760,4
imgt:StudyProduct_Genentech_Inc_Cancers_breast_overexpressing_ERBB2_97,4
imgt:StudyProduct_Genentech_Inc_Cancers_breast_overexpressing_ERBB2_metastatic_357,4
imgt:StudyProduct_Genentech_Inc_Cancers_breast_triple_negative_(TNBC)_526,4
imgt:StudyProduct_Genentech_Inc_Cancers_gastric_795,4
imgt:StudyProduct_Genentech_Inc_Cancers_non-small_cell_lung_(NSCLC)_526,4
imgt:StudyProduct_Genentech_Inc_Carcinoma_bladder_cancer_advanced_or_metastatic_urothelial_cancers_526,4
imgt:StudyProduct_Genentech_Inc_Carcinoma_urothelial_526,4
imgt:StudyProduct_Genentech_Inc_Chronic_focal_encephalitis_(CFE)_161,4
imgt:StudyProduct_Genentech_Inc_Chronic_lymphocytic_leukemia_(CLL)_238,4
imgt:StudyProduct_Genentech_Inc_Cytokine_Release_Syndrome_(CRS)_96,4
imgt:StudyProduct_Genentech_Inc_Giant_cell_arteritis_96,4
imgt:StudyProduct_Genentech_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_161,4
imgt:StudyProduct_Genentech_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_238,4
imgt:StudyProduct_Genentech_Inc_Lymphoma_follicular_(FL)_238,4
imgt:StudyProduct_Genentech_Inc_Lymphoproliferative_disorder_giant_lymph_node_hyperplasia_(Castlemans_disease)_96,4
imgt:StudyProduct_Genentech_Inc_Mesothelioma_24,4
imgt:StudyProduct_Genentech_Inc_Multiple_myeloma_(MM)_1003,4
imgt:StudyProduct_Genentech_Inc_Pemphigus_vulgaris_(PV)_161,4
imgt:StudyProduct_Genentech_Inc_Polyarticular_Juvenile_Idiopathic_Arthritis_(PJIA)_96,4
imgt:StudyProduct_Genentech_Inc_Solid_organ_transplantation_161,4
imgt:StudyProduct_Genentech_Inc_Solid_tumors_1143,4
imgt:StudyProduct_Genentech_Inc_Solid_tumors_502,4
imgt:StudyProduct_Genentech_Inc_Solid_tumors_608,4
imgt:StudyProduct_Genentech_Inc_Solid_tumors_765,4
imgt:StudyProduct_Genentech_Inc_Systemic_juvenile_idiopathic_athritis_(SJIA)_96,4
imgt:StudyProduct_Genentech_Inc_Systemic_sclerosis_96,4
imgt:StudyProduct_Genexine_Infection_papillomavirus_(HPV)_820,4
imgt:StudyProduct_Genmab_A/S_Cancers_cervical_571,4
imgt:StudyProduct_Genmab_A/S_Lymphoma_B_cell_1177,4
imgt:StudyProduct_Genmab_A/S_Multiple_myeloma_(MM)_301,4
imgt:StudyProduct_Genmab_A/S_Multiple_sclerosis_(MS)_194,4
imgt:StudyProduct_Genmab_A/S_Non-Hodgkins_lymphoma_(NHL)_228,4
imgt:StudyProduct_Genmab_A/S_Non-Hodgkins_lymphoma_(NHL)_775,4
imgt:StudyProduct_Genmab_A/S_Solid_tumors_1035,4
imgt:StudyProduct_Genmab_A/S_Solid_tumors_1119,4
imgt:StudyProduct_Genmab_A/S_Solid_tumors_1181,4
imgt:StudyProduct_Genmab_A/S_Solid_tumors_571,4
imgt:StudyProduct_Genor_Biopharma_Co_Ltd_Cancers_1076,4
imgt:StudyProduct_Genor_Biopharma_Co_Ltd_Solid_tumors_1077,4
imgt:StudyProduct_Genzyme_Corp_Kidney_transplant_rejection_11,4
imgt:StudyProduct_Gilead_B_cell_acute_lymphoblastic_leukemia_(B_cell_ALL)_1233,4
imgt:StudyProduct_Gilead_Crohns_disease_(CD)_533,4
imgt:StudyProduct_Gilead_Lymphoma_diffuse_large_B_cell_(DLBCL)_827,4
imgt:StudyProduct_Gilead_Lymphoma_follicular_(FL)_827,4
imgt:StudyProduct_Gilead_Lymphoma_mantle_cell_(MCL)_1233,4
imgt:StudyProduct_Gilead_Non-Hodgkins_lymphoma_(NHL)_1315,4
imgt:StudyProduct_Gilead_Solid_tumors_1225,4
imgt:StudyProduct_Gilead_Solid_tumors_advanced_or_metastatic_1359,4
imgt:StudyProduct_GlaxoSmithKline_Cancers_colon_119,4
imgt:StudyProduct_GlaxoSmithKline_Cancers_endometrial_(EC)_849,4
imgt:StudyProduct_GlaxoSmithKline_Multiple_myeloma_(MM)_1361,4
imgt:StudyProduct_GlaxoSmithKline_Multiple_myeloma_(MM)_817,4
imgt:StudyProduct_GlaxoSmithKline_Multiple_sclerosis_(MS)_194,4
imgt:StudyProduct_GlaxoSmithKline_Solid_tumors_1010,4
imgt:StudyProduct_GlaxoSmithKline_Solid_tumors_1411,4
imgt:StudyProduct_Glycotope_GmbH_Cancers_739,4
imgt:StudyProduct_Glycotope_GmbH_Solid_tumors_738,4
imgt:StudyProduct_Glycotope_GmbH_Solid_tumors_740,4
imgt:StudyProduct_Hanmi_Pharmaceutical_Solid_tumors_1171,4
imgt:StudyProduct_Harbour_BioMed_Solid_tumors_1368,4
imgt:StudyProduct_Henlix_Inc_Solid_tumors_1039,4
imgt:StudyProduct_Henlix_Inc_Solid_tumors_970,4
imgt:StudyProduct_Horizon_Therapeutics_plc_Chronic_lymphocytic_leukemia_(CLL)_553,4
imgt:StudyProduct_Horizon_Therapeutics_plc_Neuromyelitis_optica_(NMO)_553,4
imgt:StudyProduct_Horizon_Therapeutics_plc_Neuromyelitis_optica_spectrum_disorder_(NMOSD)_553,4
imgt:StudyProduct_I-Mab_Biopharma_Solid_tumors_1131,4
imgt:StudyProduct_I-Mab_Biopharma_Solid_tumors_1150,4
imgt:StudyProduct_IGM_Biosciences_Inc_Non-Hodgkins_lymphoma_(NHL)_1257,4
imgt:StudyProduct_ISU_Abxis_Solid_tumors_1067,4
imgt:StudyProduct_ImClone_Systems_Inc_Cancers_colorectal_(CRC)_metastatic_295,4
imgt:StudyProduct_ImClone_Systems_Inc_Cancers_gastric_295,4
imgt:StudyProduct_ImClone_Systems_Inc_Cancers_non-small_cell_lung_(NSCLC)_294,4
imgt:StudyProduct_ImClone_Systems_Inc_Cancers_non-small_cell_lung_(NSCLC)_295,4
imgt:StudyProduct_ImClone_Systems_Inc_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_151,4
imgt:StudyProduct_ImClone_Systems_Inc_Hepatocellular_carcinoma_(HCC)_295,4
imgt:StudyProduct_ImClone_Systems_Inc_Soft-tissue_sarcoma_(STS)_352,4
imgt:StudyProduct_ImaginAb_Inc_Solid_tumors_1246,4
imgt:StudyProduct_ImmunGene_Non-Hodgkins_lymphoma_(NHL)_1157,4
imgt:StudyProduct_ImmunoGen_Inc_Acute_myeloid_leukemia_(AML)_839,4
imgt:StudyProduct_ImmunoGen_Inc_Acute_myeloid_leukemia_(AML)_879,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_breast_overexpressing_ERBB2_metastatic_357,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_endometrial_(EC)_1584,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_endometrial_(EC)_1585,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_head_and_neck_600,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_non-small_cell_lung_(NSCLC)_600,4
imgt:StudyProduct_ImmunoGen_Inc_Cancers_small_cell_lung_(SCLC)_58,4
imgt:StudyProduct_ImmunoGen_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_602,4
imgt:StudyProduct_ImmunoGen_Inc_Mesothelioma_pleural_malignant_471,4
imgt:StudyProduct_ImmunoGen_Inc_Non-Hodgkins_lymphoma_(NHL)_602,4
imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_1346,4
imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_575,4
imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_592,4
imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_600,4
imgt:StudyProduct_Immunomedics_Inc_Cancers_559,4
imgt:StudyProduct_Immunomedics_Inc_Cancers_breast_triple_negative_(TNBC)_metastatic_559,4
imgt:StudyProduct_Immunomedics_Inc_Cancers_colorectal_(CRC)_metastatic_558,4
imgt:StudyProduct_Immunomedics_Inc_Cancers_pancreatic_559,4
imgt:StudyProduct_Immunomedics_Inc_Cancers_urothelial_(UC)_559,4
imgt:StudyProduct_Incyte_Biosciences_International_Sàrl_Cancers_head_and_neck_1371,4
imgt:StudyProduct_Incyte_Corporation_Cancers_non-small_cell_lung_(NSCLC)_968,4
imgt:StudyProduct_Incyte_Corporation_Merkel_cell_carcinoma_(MCC)_metastatic_968,4
imgt:StudyProduct_Incyte_Corporation_Solid_tumors_1025,4
imgt:StudyProduct_Inhibrx_Solid_tumors_advanced_or_metastatic_1477,4
imgt:StudyProduct_Innate_Pharma_Cancers_562,4
imgt:StudyProduct_Innate_Pharma_Cancers_head_and_neck_562,4
imgt:StudyProduct_Innate_Pharma_Solid_tumors_advanced_or_metastatic_940,4
imgt:StudyProduct_Innovent_Biologics_Cancers_1066,4
imgt:StudyProduct_Innovent_Biologics_Cancers_1174,4
imgt:StudyProduct_Innovent_Biologics_Cancers_non-small_cell_lung_(NSCLC)_1281,4
imgt:StudyProduct_Innovent_Biologics_Solid_tumors_1171,4
imgt:StudyProduct_Innovent_Biologics_Solid_tumors_1182,4
imgt:StudyProduct_Innovent_Biologics_Solid_tumors_859,4
imgt:StudyProduct_Innovent_Biologics_Solid_tumors_advanced_or_metastatic_1004,4
imgt:StudyProduct_Janssen_Biotech_Inc_Multiple_myeloma_(MM)_1042,4
imgt:StudyProduct_Janssen_Biotech_Inc_Multiple_myeloma_(MM)_301,4
imgt:StudyProduct_Janssen_Biotech_Inc_Solid_tumors_809,4
imgt:StudyProduct_Janssen_Biotech_Inc_Solid_tumors_810,4
imgt:StudyProduct_Janssen_Biotech_Inc_Solid_tumors_811,4
imgt:StudyProduct_Janssen_Pharmaceuticals_inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_640,4
imgt:StudyProduct_Janssen_Research_&_Development_LLC_Solid_tumors_1183,4
imgt:StudyProduct_Jasper_Therapeutics_Inc_Acute_myeloid_leukemia_(AML)_1240,4
imgt:StudyProduct_Jiangsu_Hengrui_Medicine_Co_Ltd_Cancers_non-small_cell_lung_(NSCLC)_1328,4
imgt:StudyProduct_Jiangsu_Hengrui_Medicine_Co_Ltd_Cancers_pancreatic_1159,4
imgt:StudyProduct_Jiangsu_Hengrui_Medicine_Co_Ltd_Carcinoma_esophageal_999,4
imgt:StudyProduct_Jounce_Therapeutics_Cancers_1330,4
imgt:StudyProduct_Jounce_Therapeutics_Solid_tumors_1082,4
imgt:StudyProduct_Jounce_Therapeutics_Solid_tumors_801,4
imgt:StudyProduct_Juno_Therapeutics_Chronic_lymphocytic_leukemia_(CLL)_874,4
imgt:StudyProduct_Juno_Therapeutics_Lymphoma_diffuse_large_B_cell_(DLBCL)_874,4
imgt:StudyProduct_Juno_Therapeutics_Lymphoma_follicular_(FL)_874,4
imgt:StudyProduct_Juno_Therapeutics_Lymphoma_mantle_cell_(MCL)_874,4
imgt:StudyProduct_Juno_Therapeutics_Small_lymphocytic_lymphoma_(SLL)_874,4
imgt:StudyProduct_KaloBios_Pharmaceuticals_Inc_Solid_tumors_572,4
imgt:StudyProduct_Klus_Pharma_Inc_Cancers_gastric_840,4
imgt:StudyProduct_Kymab_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_1120,4
imgt:StudyProduct_Kyowa_Hakko_Kirin_Adult_T_cell_leukemia/lymphoma_(ATL)_366,4
imgt:StudyProduct_Kyowa_Hakko_Kirin_Lymphoma_cutaneous_T_cell_(CTCL)_366,4
imgt:StudyProduct_Kyowa_Hakko_Kirin_Mycoisis_fungoides_(MF)_or_Sezary_syndrome_366,4
imgt:StudyProduct_Kyowa_Hakko_Kirin_Mycosis_fungoides_(MF)_relapsed_or_refractory_366,4
imgt:StudyProduct_Laboratoire_Français_du_fractionnement_et_des_Biotechnologies_(LFB)_Lymphoma_diffuse_large_B_cell_(DLBCL)_372,4
imgt:StudyProduct_Laboratoire_Français_du_fractionnement_et_des_Biotechnologies_(LFB)_Multiple_sclerosis_relapsing-remitting_372,4
imgt:StudyProduct_Laboratoire_Français_du_fractionnement_et_des_Biotechnologies_(LFB)_Neuromyelitis_optica_(NMO)_372,4
imgt:StudyProduct_Leap_Therapeutics_Cancers_endometrial_(EC)_1187,4
imgt:StudyProduct_Leap_Therapeutics_GE_Junction_Cancer_1187,4
imgt:StudyProduct_Lees_Pharmaceutical_Carcinoma_urothelial_1172,4
imgt:StudyProduct_Livzon_Pharmaceutical_Group_Inc_Solid_tumors_1373,4
imgt:StudyProduct_Lonza_Biologics_Cancers_colorectal_(CRC)_138,4
imgt:StudyProduct_Lonza_Biologics_Cancers_ovarian_138,4
imgt:StudyProduct_Lyvgen_Biopharma_Hepatocellular_carcinoma_(HCC)_metastatic_1365,4
imgt:StudyProduct_Lyvgen_Biopharma_Hepatocellular_carcinoma_(HCC)_metastatic_1367,4
imgt:StudyProduct_Lyvgen_Biopharma_Soft-tissue_sarcoma_(STS)_1366,4
imgt:StudyProduct_MD_Anderson_Cancer_Center_Hepatocellular_carcinoma_(HCC)_metastatic_1365,4
imgt:StudyProduct_MD_Anderson_Cancer_Center_Hepatocellular_carcinoma_(HCC)_metastatic_1367,4
imgt:StudyProduct_MD_Anderson_Cancer_Center_Soft-tissue_sarcoma_(STS)_1366,4
imgt:StudyProduct_MacroGenics_Inc_Cancers_breast_overexpressing_ERBB2_metastatic_473,4
imgt:StudyProduct_MacroGenics_Inc_Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)_1289,4
imgt:StudyProduct_MacroGenics_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_640,4
