mAb,Target,Indication
mAb_1045,!/hgnc_id/HGNC:6091,Diabetes_mellitus_(DM)
mAb_1046,!/hgnc_id/HGNC:399,Psoriasis
mAb_1046,!/hgnc_id/HGNC:5981,Psoriasis
mAb_1047,,Hemophilia_A
mAb_1048,!/hgnc_id/HGNC:1682,Solid_tumors
mAb_1049,!/hgnc_id/HGNC:11913,Multiple_myeloma_(MM)
mAb_105,!/hgnc_id/HGNC:1674,Autoimmunity
mAb_105,!/hgnc_id/HGNC:1674,Organ_rejection
mAb_105,!/hgnc_id/HGNC:1674,T_cell_lymphoma
mAb_1050,FGF_ligands,Achondroplasia
mAb_1051,!/vgnc_id/VGNC:29132,
mAb_1052,,Dry_eye_(DE)_syndrome
mAb_1053,!/hgnc_id/HGNC:399,Autoimmune_diseases
mAb_1053,!/hgnc_id/HGNC:3621,Autoimmune_diseases
mAb_1054,!/hgnc_id/HGNC:19137,Solid_tumors_advanced_or_metastatic
mAb_1054,!/hgnc_id/HGNC:1674,Solid_tumors_advanced_or_metastatic
mAb_1055,!/hgnc_id/HGNC:1674,Acute_myeloid_leukemia_(AML)
mAb_1055,!/hgnc_id/HGNC:1659,Acute_myeloid_leukemia_(AML)
mAb_1056,!/hgnc_id/HGNC:1674,Acute_myeloid_leukemia_(AML)
mAb_1056,!/hgnc_id/HGNC:1659,Acute_myeloid_leukemia_(AML)
mAb_1057,!/hgnc_id/HGNC:1674,Multiple_myeloma_(MM)
mAb_1057,!/hgnc_id/HGNC:11913,Multiple_myeloma_(MM)
mAb_1058,!/hgnc_id/HGNC:1674,Multiple_myeloma_(MM)
mAb_1058,!/hgnc_id/HGNC:11913,Multiple_myeloma_(MM)
mAb_1059,!/hgnc_id/HGNC:11020,Solid_tumors
mAb_106,PcrV_protein,Cystic_Fibrosis_(CF)
mAb_1060,!/hgnc_id/HGNC:7315,Neuromyelitis_optica_spectrum_disorder_(NMOSD)
mAb_1060,!/hgnc_id/HGNC:7315,Multiple_sclerosis_relapsing-remitting
mAb_1060,!/hgnc_id/HGNC:7315,Scleroderma
mAb_1061,staphylococcal_protein_A_(SpA),Staphylococcal_infections
mAb_1062,!/hgnc_id/HGNC:10943,Acute_myeloid_leukemia_(AML)
mAb_1062,!/hgnc_id/HGNC:10943,Multiple_myeloma_(MM)
mAb_1062,!/hgnc_id/HGNC:10943,Lymphoma_diffuse_large_B_cell_(DLBCL)
mAb_1063,!/hgnc_id/HGNC:8507,Prurigo
mAb_1064,!/hgnc_id/HGNC:5998,Asthma
mAb_1065,!/hgnc_id/HGNC:1817,Solid_tumors
mAb_1066,!/hgnc_id/HGNC:1682,Cancers
mAb_1067,!/hgnc_id/HGNC:3431,Solid_tumors
mAb_1068,!/hgnc_id/HGNC:15503,Autoimmune_diseases
mAb_1068,!/hgnc_id/HGNC:15503,Polymyositis
mAb_1070,!/hgnc_id/HGNC:259,Septic_shock
mAb_1070,!/hgnc_id/HGNC:259,Cardiogenic_shock_(CS)
mAb_1071,!/hgnc_id/HGNC:8760,Cancers_non-small_cell_lung_(NSCLC)
mAb_1071,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1072,!/hgnc_id/HGNC:905,Solid_tumors
mAb_1073,!/hgnc_id/HGNC:1674,Cancers_small_cell_lung_(SCLC)
mAb_1073,!/hgnc_id/HGNC:2909,Cancers_small_cell_lung_(SCLC)
mAb_1074,!/hgnc_id/HGNC:1674,Cancers_prostate_metastatic
mAb_1074,!/hgnc_id/HGNC:3788,Cancers_prostate_metastatic
mAb_1075,!/hgnc_id/HGNC:3430,Solid_tumors
mAb_1076,!/hgnc_id/HGNC:3430,Cancers
mAb_1077,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1077,!/hgnc_id/HGNC:8760,Hepatocellular_carcinoma_(HCC)
mAb_1077,!/hgnc_id/HGNC:8760,Lymphoma_primary_mediastinal_B_cell_(PMBL)
mAb_1077,!/hgnc_id/HGNC:8760,Lymphoma_peripheral_T_cell_(PTCL)
mAb_1078,!/hgnc_id/HGNC:6016,Asthma
mAb_1079,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_108,ganglioside_N-glycolyl_GM3,Cancers
mAb_1080,!/hgnc_id/HGNC:26838,Solid_tumors_advanced_or_metastatic
mAb_1081,!/hgnc_id/HGNC:1674,Multiple_myeloma_(MM)
mAb_1081,!/hgnc_id/HGNC:11913,Multiple_myeloma_(MM)
mAb_1082,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1083,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1083,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_1084,!/hgnc_id/HGNC:6476,Solid_tumors
mAb_1084,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_1085,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1085,!/hgnc_id/HGNC:5351,Solid_tumors
mAb_1086,!/hgnc_id/HGNC:1817,
mAb_1088,!/hgnc_id/HGNC:11919,Cancers_non-small_cell_lung_(NSCLC)
mAb_1088,!/hgnc_id/HGNC:11919,Adenocarcinoma_gastric
mAb_1088,!/hgnc_id/HGNC:11919,Renal_cell_carcinoma_(RCC)
mAb_1088,!/hgnc_id/HGNC:11919,Carcinoma_esophageal
mAb_1088,!/hgnc_id/HGNC:11919,Soft-tissue_sarcoma_(STS)
mAb_1088,!/hgnc_id/HGNC:11919,Cancers_pancreatic_metastatic
mAb_1089,!/hgnc_id/HGNC:20001,Heterozygous_familial_hypercholesterolemia_(HeFH)
mAb_109,ganglioside_GD2_(disialoganglioside_GD2),Solid_tumors
mAb_109,ganglioside_GD2_(disialoganglioside_GD2),Melanoma
mAb_1090,!/hgnc_id/HGNC:905,Solid_tumors_advanced_or_metastatic
mAb_1091,!/hgnc_id/HGNC:1695,Graft-versus-host_disease_(GvHD)
mAb_1092,!/hgnc_id/HGNC:1674,Graft-versus-host_disease_(GvHD)
mAb_1093,!/hgnc_id/HGNC:8760,Cancers_non-small_cell_lung_(NSCLC)
mAb_1093,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1093,!/hgnc_id/HGNC:8760,Cancers_non-small_cell_lung_(NSCLC)_metastatic
mAb_1093,!/hgnc_id/HGNC:8760,Cancers_nasopharyngeal
mAb_1093,!/hgnc_id/HGNC:8760,Hodgkin_lymphoma
mAb_1094,!/hgnc_id/HGNC:20001,Hypercholesterolemia
mAb_1095,!/hgnc_id/HGNC:18131,Solid_tumors
mAb_1096,!/hgnc_id/HGNC:1674,Steroid-refractory_acute_GvHD_(SR-GvHD)
mAb_1097,!/hgnc_id/HGNC:1695,Steroid-refractory_acute_GvHD_(SR-GvHD)
mAb_1098,!/hgnc_id/HGNC:4168,Cancers_ovarian
mAb_1099,!/hgnc_id/HGNC:1633,B_cell_lymphoma
mAb_11,!/hgnc_id/HGNC:1804,Multiple_sclerosis_(MS)
mAb_11,!/hgnc_id/HGNC:1804,Chronic_lymphocytic_leukemia_(CLL)
mAb_11,!/hgnc_id/HGNC:1804,Kidney_transplant_rejection
mAb_110,!/hgnc_id/HGNC:3788,Cancers_prostate_metastatic
mAb_1101,!/hgnc_id/HGNC:7371,Cancers_non-small_cell_lung_(NSCLC)
mAb_1101,!/hgnc_id/HGNC:7371,Cancers_ovarian
mAb_1101,!/hgnc_id/HGNC:7371,Mesothelioma_pleural_malignant
mAb_1101,!/hgnc_id/HGNC:7371,Cholangiocarcinoma
mAb_1101,!/hgnc_id/HGNC:7371,Mesothelioma_malignant
mAb_1102,!/hgnc_id/HGNC:1633,Non-Hodgkins_lymphoma_(NHL)
mAb_1102,!/hgnc_id/HGNC:1633,Acute_lymphocytic_leukemia_(ALL)
mAb_1103,!/hgnc_id/HGNC:1633,Acute_lymphocytic_leukemia_(ALL)
