model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
CP,esm2,0,47.19444274902344,0.23708614706993103,0.1388888955116272,0.23333333432674408,0.4722222089767456
CP,esm2,1,46.46111297607422,0.23359598219394684,0.14444445073604584,0.20555555820465088,0.47777777910232544
CP,esm2,2,46.22222137451172,0.23697446286678314,0.1388888955116272,0.23888888955116272,0.4611110985279083
CP,esm2,3,53.72222137451172,0.23633980751037598,0.1388888955116272,0.24444444477558136,0.4555555582046509
CP,esm2,4,50.877777099609375,0.23283889889717102,0.1388888955116272,0.2222222238779068,0.4444444477558136
AttH,esm2,0,99.54444122314453,0.24998438358306885,0.15000000596046448,0.25,0.4722222089767456
AttH,esm2,1,73.70555877685547,0.2559177875518799,0.15555556118488312,0.2777777910232544,0.47777777910232544
AttH,esm2,2,89.34444427490234,0.24838754534721375,0.1388888955116272,0.2666666805744171,0.47777777910232544
AttH,esm2,3,70.30000305175781,0.2501749098300934,0.1388888955116272,0.2666666805744171,0.4888888895511627
AttH,esm2,4,87.30555725097656,0.2439570277929306,0.1388888955116272,0.25555557012557983,0.4833333194255829
RefH,esm2,0,1191.7166748046875,0.2196422815322876,0.1388888955116272,0.21666666865348816,0.39444443583488464
RefH,esm2,1,1211.888916015625,0.21856679022312164,0.1388888955116272,0.23333333432674408,0.4055555462837219
RefH,esm2,2,1190.9000244140625,0.22145307064056396,0.1388888955116272,0.23333333432674408,0.38333332538604736
RefH,esm2,3,1152.844482421875,0.2234143763780594,0.1388888955116272,0.22777777910232544,0.41111111640930176
RefH,esm2,4,1135.9832763671875,0.21403484046459198,0.1388888955116272,0.1944444477558136,0.38333332538604736
RotH,esm2,0,36.02777862548828,0.27147138118743896,0.1388888955116272,0.31111112236976624,0.5666666626930237
RotH,esm2,1,35.772220611572266,0.26748767495155334,0.13333334028720856,0.30000001192092896,0.6000000238418579
RotH,esm2,2,36.67777633666992,0.26566582918167114,0.12777778506278992,0.3166666626930237,0.5888888835906982
RotH,esm2,3,34.69444274902344,0.2626955807209015,0.13333334028720856,0.2888889014720917,0.5722222328186035
RotH,esm2,4,36.36111068725586,0.2660263478755951,0.13333334028720856,0.3222222328186035,0.5722222328186035
