entity,label,family,primary_type,coarse_category,explicit_types,embedding_strategy
HGNC:23029,23029,NumericId,NumericId,NumericId,,categorical
HGNC:23503,23503,NumericId,NumericId,NumericId,,categorical
HGNC:2432,2432,NumericId,NumericId,NumericId,,categorical
HGNC:2433,2433,NumericId,NumericId,NumericId,,categorical
HGNC:2434,2434,NumericId,NumericId,NumericId,,categorical
HGNC:2466,2466,NumericId,NumericId,NumericId,,categorical
HGNC:24880,24880,NumericId,NumericId,NumericId,,categorical
HGNC:2491,2491,NumericId,NumericId,NumericId,,categorical
HGNC:2500,2500,NumericId,NumericId,NumericId,,categorical
HGNC:2505,2505,NumericId,NumericId,NumericId,,categorical
HGNC:2561,2561,NumericId,NumericId,NumericId,,categorical
HGNC:26838,26838,NumericId,NumericId,NumericId,,categorical
HGNC:27912,27912,NumericId,NumericId,NumericId,,categorical
HGNC:28873,28873,NumericId,NumericId,NumericId,,categorical
HGNC:2891,2891,NumericId,NumericId,NumericId,,categorical
HGNC:2909,2909,NumericId,NumericId,NumericId,,categorical
HGNC:2910,2910,NumericId,NumericId,NumericId,,categorical
HGNC:30085,30085,NumericId,NumericId,NumericId,,categorical
HGNC:30142,30142,NumericId,NumericId,NumericId,,categorical
HGNC:317,317,NumericId,NumericId,NumericId,,categorical
HGNC:31713,31713,NumericId,NumericId,NumericId,,categorical
HGNC:3236,3236,NumericId,NumericId,NumericId,,categorical
HGNC:3349,3349,NumericId,NumericId,NumericId,,categorical
HGNC:3363,3363,NumericId,NumericId,NumericId,,categorical
HGNC:3387,3387,NumericId,NumericId,NumericId,,categorical
HGNC:3430,3430,NumericId,NumericId,NumericId,,categorical
HGNC:3431,3431,NumericId,NumericId,NumericId,,categorical
HGNC:3541,3541,NumericId,NumericId,NumericId,,categorical
HGNC:3590,3590,NumericId,NumericId,NumericId,,categorical
HGNC:3612,3612,NumericId,NumericId,NumericId,,categorical
HGNC:3613,3613,NumericId,NumericId,NumericId,,categorical
HGNC:3618,3618,NumericId,NumericId,NumericId,,categorical
HGNC:3619,3619,NumericId,NumericId,NumericId,,categorical
HGNC:3689,3689,NumericId,NumericId,NumericId,,categorical
HGNC:3690,3690,NumericId,NumericId,NumericId,,categorical
HGNC:3763,3763,NumericId,NumericId,NumericId,,categorical
HGNC:3765,3765,NumericId,NumericId,NumericId,,categorical
HGNC:3788,3788,NumericId,NumericId,NumericId,,categorical
