query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
22,imgt:mAb_1354,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Melanoma_1354,LAG3;PDCD1,18,15,0.8333,0.7459,1.1172,3,scored
23,imgt:mAb_680,imgt:StudyProduct_Oncurious_NV_Solid_tumors_680,PGF,18,7,0.3889,0.3393,1.1461,11,scored
24,imgt:mAb_1194,imgt:StudyProduct_Akeso_Biopharma_Inc_Solid_tumors_1194,KDR,18,11,0.6111,0.5145,1.1877,7,scored
25,imgt:mAb_512,imgt:StudyProduct_Merck_Serono_International_SA_Solid_tumors_512,CD274,18,13,0.7222,0.5808,1.2435,5,scored
26,imgt:mAb_248,imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_248,CTLA4,18,7,0.3889,0.327,1.1891,11,scored
27,imgt:mAb_76,imgt:StudyProduct_YM_BioSciences_Inc_Cancers_pancreatic_76,EGFR,18,9,0.5,0.4696,1.0646,9,scored
28,imgt:mAb_357,imgt:StudyProduct_ImmunoGen_Inc_Cancers_gastric_357,ERBB2,18,9,0.5,0.3974,1.2583,9,scored
29,imgt:mAb_1035,imgt:StudyProduct_Genmab_A/S_Solid_tumors_1035,TNFRSF10B,18,16,0.8889,0.6912,1.2859,2,scored
30,imgt:mAb_1036,imgt:StudyProduct_Mersana_Therapeutics_Solid_tumors_1036,SLC34A2,18,16,0.8889,0.7532,1.1802,2,scored
31,imgt:mAb_649,imgt:StudyProduct_Pfizer_Acute_myeloid_leukemia_(AML)_649,CD33,18,6,0.3333,0.3033,1.0991,12,scored
32,imgt:mAb_295,imgt:StudyProduct_ImClone_Systems_Inc_Solid_tumors_295,KDR,18,12,0.6667,0.5111,1.3043,6,scored
33,imgt:mAb_96,imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Rheumatoid_arthritis_(RA)_96,IL6R,18,6,0.3333,0.2632,1.2664,12,scored
34,imgt:mAb_457,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_diffuse_large_B_cell_(DLBCL)_457,CD22,18,8,0.4444,0.3497,1.2711,10,scored
35,imgt:mAb_1367,imgt:StudyProduct_Lyvgen_Biopharma_Cancers_gastric_1367,CD40,18,13,0.7222,0.5183,1.3933,5,scored
36,imgt:mAb_180,imgt:StudyProduct_Medarex_Cancers_non-small_cell_lung_(NSCLC)_180,CTLA4,18,6,0.3333,0.3365,0.9906,12,scored
37,imgt:mAb_24,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_colorectal_(CRC)_metastatic_24,VEGFA,18,5,0.2778,0.2688,1.0334,13,scored
38,imgt:mAb_352,imgt:StudyProduct_Eli_Lilly_Glioblastoma_352,PDGFRA,18,10,0.5556,0.5164,1.0759,8,scored
39,imgt:mAb_984,imgt:StudyProduct_Adaptimmune_LLC_Cancers_non-small_cell_lung_(NSCLC)_984,CTAG1B,18,16,0.8889,0.7084,1.2548,2,scored
40,imgt:mAb_1384,imgt:StudyProduct_Curocell_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_1384,CD19,18,9,0.5,0.3835,1.3039,9,scored
41,imgt:mAb_301,imgt:StudyProduct_Janssen_Biotech_Inc_AL_amyloidosis_301,CD38,18,14,0.7778,0.6156,1.2635,4,scored
42,imgt:mAb_921,imgt:StudyProduct_Xencor_Inc_Cancers_gastrointestinal_921,CD3E;SSTR2,18,16,0.8889,0.6728,1.3211,2,scored
43,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Lymphoma_primary_mediastinal_B_cell_(PMBL)_472,PDCD1,18,11,0.6111,0.5948,1.0274,7,scored
44,imgt:mAb_882,imgt:StudyProduct_Millennium_Pharmaceuticals_Inc_Multiple_myeloma_(MM)_882,CD38,18,14,0.7778,0.6156,1.2634,4,scored
45,imgt:mAb_458,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Non-Hodgkins_lymphoma_(NHL)_458,CD79B,18,15,0.8333,0.6277,1.3277,3,scored
