model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
RotE,esm2,0,22.754209518432617,0.311503529548645,0.19528619945049286,0.3400673270225525,0.5791245698928833
RotE,esm2,1,24.114479064941406,0.309025377035141,0.18855218589305878,0.3265993297100067,0.6026936173439026
RotE,esm2,2,24.22222137451172,0.31575554609298706,0.19191919267177582,0.3265993297100067,0.6060606241226196
RotE,esm2,3,23.760942459106445,0.30685052275657654,0.18855218589305878,0.3333333432674408,0.5791245698928833
RotE,esm2,4,23.814815521240234,0.3149661123752594,0.1818181872367859,0.3636363744735718,0.5993266105651855
RotE,random,0,23.343435287475586,0.2957151234149933,0.1818181872367859,0.3097642958164215,0.5521885752677917
RotE,random,1,24.329965591430664,0.2994418144226074,0.19191919267177582,0.2929292917251587,0.5757575631141663
RotE,random,2,23.683502197265625,0.3012462556362152,0.18518517911434174,0.3164983093738556,0.5824915766716003
RotE,random,3,23.407407760620117,0.30082643032073975,0.19191919267177582,0.3097642958164215,0.5555555820465088
RotE,random,4,24.299663543701172,0.30395546555519104,0.1818181872367859,0.33670035004615784,0.5622895359992981
TransE,esm2,0,28.60942840576172,0.3121662437915802,0.19191919267177582,0.33670035004615784,0.5723905563354492
TransE,esm2,1,30.38047218322754,0.3133220374584198,0.18855218589305878,0.3569023609161377,0.5824915766716003
TransE,esm2,2,32.82491683959961,0.3120477795600891,0.19191919267177582,0.3400673270225525,0.5791245698928833
TransE,esm2,3,33.29966354370117,0.3110607862472534,0.18855218589305878,0.34343433380126953,0.5791245698928833
TransE,esm2,4,34.95286178588867,0.31677940487861633,0.18855218589305878,0.36026936769485474,0.5757575631141663
TransE,random,0,29.484848022460938,0.29909229278564453,0.18855218589305878,0.31986531615257263,0.5656565427780151
TransE,random,1,29.282827377319336,0.29453426599502563,0.1818181872367859,0.3030303120613098,0.5420875549316406
TransE,random,2,33.73737335205078,0.29441672563552856,0.18518517911434174,0.3164983093738556,0.5690235495567322
TransE,random,3,31.515151977539062,0.2961641550064087,0.18855218589305878,0.30639731884002686,0.5353535413742065
TransE,random,4,34.21885681152344,0.2966246008872986,0.18518517911434174,0.29629629850387573,0.5757575631141663
RefE,esm2,0,24.22895622253418,0.31149786710739136,0.19191919267177582,0.3333333432674408,0.5791245698928833
RefE,esm2,1,23.178451538085938,0.32253098487854004,0.1986531913280487,0.3569023609161377,0.5757575631141663
RefE,esm2,2,23.2020206451416,0.30484825372695923,0.1818181872367859,0.32996633648872375,0.5791245698928833
RefE,esm2,3,24.212121963500977,0.3079323172569275,0.18518517911434174,0.3400673270225525,0.5791245698928833
RefE,esm2,4,23.787878036499023,0.30945029854774475,0.1818181872367859,0.34343433380126953,0.5858585834503174
RefE,random,0,24.272727966308594,0.2953745126724243,0.17845118045806885,0.3097642958164215,0.5824915766716003
RefE,random,1,23.188552856445312,0.30420005321502686,0.18518517911434174,0.3265993297100067,0.5622895359992981
RefE,random,2,23.232322692871094,0.2953190803527832,0.17845118045806885,0.3164983093738556,0.5555555820465088
RefE,random,3,25.595958709716797,0.29437071084976196,0.1750841736793518,0.3232323229312897,0.558922529220581
RefE,random,4,24.407407760620117,0.297396183013916,0.1818181872367859,0.3097642958164215,0.5488215684890747
