model,trial,seed,lr,batch,neg,gamma,reg,regularizer,init_size,max_epochs,double_neg,valid_tail_mr,test_tail_mr,test_tail_mrr,test_h1,test_h3,test_h10
AttE,trial_000,6042,0.001,2048,64,12.0,0.0,F2,0.001,200,False,42.15614700317383,48.33333206176758,0.2769775986671448,0.17845118045806885,0.2794612646102905,0.5016834735870361
AttE,trial_001,6043,0.001,1024,32,12.0,0.0,F2,0.005,200,False,176.6411895751953,199.35353088378906,0.2899426519870758,0.17845118045806885,0.3097642958164215,0.5185185074806213
AttE,trial_002,6044,0.001,512,64,0.0,1e-06,N3,0.005,200,False,30.720930099487305,26.053871154785156,0.26538071036338806,0.15488214790821075,0.28282827138900757,0.5151515007019043
AttE,trial_003,6045,0.0003,1024,128,6.0,1e-05,F2,0.005,200,False,29.475082397460938,25.494949340820312,0.28205063939094543,0.17171716690063477,0.30639731884002686,0.48821547627449036
AttE,trial_004,6046,0.003,512,64,0.0,0.0,F2,0.001,200,True,32.69435119628906,27.774410247802734,0.27844420075416565,0.16498316824436188,0.3097642958164215,0.5084174871444702
AttE,trial_005,6047,0.0003,256,32,12.0,1e-05,F2,0.001,200,True,32.069766998291016,27.19528579711914,0.28662559390068054,0.18518517911434174,0.2861952781677246,0.5488215684890747
AttE,trial_006,6048,0.003,1024,128,0.0,1e-06,F2,0.001,200,False,33.38206100463867,38.835018157958984,0.29731816053390503,0.18855218589305878,0.3164983093738556,0.5353535413742065
AttE,trial_007,6049,0.001,512,128,0.0,0.0,N3,0.005,200,True,27.598007202148438,26.58922576904297,0.2835807800292969,0.1750841736793518,0.30639731884002686,0.5151515007019043
AttE,trial_008,6050,0.003,256,64,6.0,1e-05,F2,0.005,200,False,34.23255920410156,28.080808639526367,0.28249406814575195,0.17845118045806885,0.28956228494644165,0.5185185074806213
AttE,trial_009,6051,0.001,1024,64,0.0,1e-06,N3,0.001,200,True,32.28239059448242,28.56902313232422,0.26849475502967834,0.15488214790821075,0.25589224696159363,0.5521885752677917
AttE,trial_010,6052,0.0003,512,128,6.0,1e-06,F2,0.005,200,True,2437.55810546875,2245.6162109375,0.1421852707862854,0.1111111119389534,0.16835017502307892,0.18518517911434174
AttE,trial_011,6053,0.003,1024,64,12.0,1e-05,N3,0.001,200,False,295.28570556640625,276.90234375,0.2879904806613922,0.17845118045806885,0.30639731884002686,0.5084174871444702
AttE,trial_012,6054,0.003,256,32,0.0,1e-06,N3,0.005,200,False,32.043190002441406,29.622896194458008,0.29653114080429077,0.17845118045806885,0.31313130259513855,0.558922529220581
AttE,trial_013,6055,0.0003,512,32,12.0,0.0,F2,0.001,200,True,3919.279052734375,3754.6162109375,0.0014792769216001034,0.0,0.0,0.0
AttE,trial_014,6056,0.001,1024,64,6.0,1e-06,N3,0.001,200,True,26.465116500854492,23.414140701293945,0.3027832806110382,0.18518517911434174,0.3265993297100067,0.558922529220581
