model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
MurE,esm2,0,23.808080673217773,0.2977587878704071,0.18518517911434174,0.31313130259513855,0.5555555820465088
MurE,esm2,1,23.070707321166992,0.2957334816455841,0.18518517911434174,0.3030303120613098,0.5420875549316406
MurE,esm2,2,26.296297073364258,0.2937285602092743,0.1750841736793518,0.31986531615257263,0.5420875549316406
MurE,esm2,3,25.336700439453125,0.29402393102645874,0.18855218589305878,0.30639731884002686,0.5488215684890747
MurE,esm2,4,24.872053146362305,0.2903437316417694,0.17845118045806885,0.29629629850387573,0.5420875549316406
MurE,random,0,24.602693557739258,0.2987799048423767,0.19191919267177582,0.31313130259513855,0.5555555820465088
MurE,random,1,23.683502197265625,0.29329559206962585,0.18518517911434174,0.3030303120613098,0.5319865345954895
MurE,random,2,26.629629135131836,0.2923448383808136,0.17845118045806885,0.3164983093738556,0.5387205481529236
MurE,random,3,26.885520935058594,0.291041761636734,0.18518517911434174,0.3030303120613098,0.5454545617103577
MurE,random,4,24.73737335205078,0.2866414785385132,0.17845118045806885,0.2861952781677246,0.5454545617103577
AttE,esm2,0,23.851852416992188,0.29630881547927856,0.18518517911434174,0.2996633052825928,0.5521885752677917
AttE,esm2,1,23.89562225341797,0.2983749210834503,0.19191919267177582,0.30639731884002686,0.5420875549316406
AttE,esm2,2,23.885520935058594,0.28716978430747986,0.18518517911434174,0.2794612646102905,0.5117844939231873
AttE,esm2,3,23.33333396911621,0.29230499267578125,0.18518517911434174,0.2996633052825928,0.5555555820465088
AttE,esm2,4,23.565656661987305,0.3030330538749695,0.19191919267177582,0.3232323229312897,0.5387205481529236
AttE,random,0,23.89562225341797,0.29716092348098755,0.18518517911434174,0.30639731884002686,0.5454545617103577
AttE,random,1,23.599327087402344,0.29069921374320984,0.17845118045806885,0.30639731884002686,0.5286195278167725
AttE,random,2,24.0,0.28562119603157043,0.1818181872367859,0.2861952781677246,0.5252525210380554
AttE,random,3,23.148147583007812,0.2882213890552521,0.17845118045806885,0.28956228494644165,0.5723905563354492
AttE,random,4,23.323232650756836,0.3045741319656372,0.18518517911434174,0.34343433380126953,0.5555555820465088
CP,esm2,0,25.898990631103516,0.3097105622291565,0.20875421166419983,0.31313130259513855,0.558922529220581
CP,esm2,1,26.42424201965332,0.2491150200366974,0.12794612348079681,0.25589224696159363,0.5218855142593384
CP,esm2,2,25.545454025268555,0.30334147810935974,0.20202019810676575,0.3030303120613098,0.5454545617103577
CP,esm2,3,26.730640411376953,0.2928761839866638,0.19191919267177582,0.3097642958164215,0.5252525210380554
CP,esm2,4,27.040403366088867,0.29710784554481506,0.19528619945049286,0.30639731884002686,0.5420875549316406
CP,random,0,64.51515197753906,0.2748052477836609,0.17845118045806885,0.2693602740764618,0.5050504803657532
CP,random,1,47.88888931274414,0.27456191182136536,0.17845118045806885,0.2693602740764618,0.5016834735870361
CP,random,2,66.87205505371094,0.2554251253604889,0.16498316824436188,0.2525252401828766,0.44107744097709656
CP,random,3,49.639732360839844,0.28474661707878113,0.18855218589305878,0.31313130259513855,0.4915824830532074
CP,random,4,58.08754348754883,0.27376788854599,0.19191919267177582,0.2794612646102905,0.44781145453453064
