entity,id
imgt:Construct_1012,135
imgt:mAb_1012,136
imgt:Product_Surface_Oncology_Inc_1337,137
imgt:StudyProduct_Surface_Oncology_Inc_Solid_tumors_1337,138
imgt:mAb_24,139
HGNC:1697,140
imgt:mAb_135,141
imgt:StudyProduct_Immunomedics_Inc_Non-Hodgkins_lymphoma_(NHL)_21,142
imgt:Clone_164,143
imgt:Product_AbbVie_Inc_291,144
imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_breast_234,145
imgt:Cancers_breast,146
imgt:Product_Systimmune_Inc_1260,147
imgt:Systimmune_Inc,148
imgt:StudyProduct_Genentech_Inc_Multiple_myeloma_(MM)_1003,149
imgt:Multiple_myeloma_(MM),150
imgt:Segment_1272_1,151
imgt:Construct_1272,152
imgt:mAb_388,153
imgt:Construct_388,154
imgt:Immunomedics_Inc,155
imgt:Product_Immunomedics_Inc_559,156
imgt:Product_Amgen_168,157
imgt:Amgen,158
imgt:Segment_Construct_CD8A_1161_1,159
imgt:CD8A_(CO-TM)-TNFRSF9_(CY1)-CD247_(CY2)_(1:1),160
HGNC:11331,161
imgt:mAb_921,162
imgt:StudyProduct_Xencor_Inc_Cancers_gastrointestinal_921,163
imgt:Cancers_gastrointestinal,164
imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Large-vessel_vasculitis_96,165
imgt:Product_Roche_F_Hoffmann-La_Roche_Ltd_96,166
imgt:Construct_180,167
imgt:Struct-85688568,168
imgt:StudyProduct_Janssen_Research_&_Development_LLC_Multiple_myeloma_(MM)_894,169
imgt:Lymphoma_cutaneous_T_cell_(CTCL),170
imgt:StudyProduct_Lymphoma_cutaneous_T_cell_(CTCL)_314,171
imgt:Construct_1000,172
imgt:IG,173
imgt:Product_Cytogen_Corp_117,174
imgt:mAb_117,175
imgt:StudyProduct_AbbVie_Inc_Solid_tumors_815,176
imgt:StudyProduct_Pfizer_Solid_tumors_657,177
imgt:Solid_tumors,178
imgt:StudyProduct_Gilead_Myelofibrosis_430,179
imgt:Myelofibrosis,180
imgt:mAb_122,181
imgt:Conjugate_chelator_tiuxetan_122,182
imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Non-Hodgkins_lymphoma_(NHL)_follicular_CD20_positive_relapsed_or_refractory_low_grade_161,183
imgt:Non-Hodgkins_lymphoma_(NHL)_follicular_CD20_positive_relapsed_or_refractory_low_grade,184
imgt:StudyProduct_Genentech_Inc_Carcinoma_bladder_cancer_advanced_or_metastatic_urothelial_cancers_526,185
imgt:Carcinoma_bladder_cancer_advanced_or_metastatic_urothelial_cancers,186
imgt:Segment_80_1,187
imgt:mAb_871,188
imgt:10593,189
imgt:mAb_531,190
imgt:Conjugate_monomethyl_auristatin_E_type_linker_531,191
imgt:Clone_1371,192
imgt:mAb_1371,193
imgt:StudyProduct_Life_Science_Pharmaceuticals_(LSP)_Malignant_melanoma_274,194
imgt:_YB2/0_rat_hybridoma_cells,195
imgt:StudyProduct_Genmab_A/S_Solid_tumors_1119,196
imgt:FAB-GAMMA-2_LAMBDA,197
imgt:Fab-Gamma-2_Lambda,198
imgt:F(AB')2-GAMMA-2_KAPPA,199
imgt:F(ab’)2-Gamma-2_Kappa,200
imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Myasthenia_Gravis_(MG)_96,201
imgt:StudyProduct_Arcus_Biosciences_Inc_Cancers_prostate_1338,202
imgt:Product_Arcus_Biosciences_Inc_1338,203
imgt:Product_Centocor_Inc_119,204
imgt:mAb_119,205
imgt:StudyProduct_Kyowa_Hakko_Kirin_Lymphoma_peripheral_T_cell_(PTCL)_366,206
imgt:Lymphoma_peripheral_T_cell_(PTCL),207
imgt:Construct_987,208
imgt:TR-Alpha_Beta-2,209
imgt:Segment_293_1,210
imgt:IgG2-kappa,211
imgt:Construct_416,212
imgt:mAb_416,213
imgt:mAb_526,214
imgt:Construct_526,215
imgt:mAb_1155,216
imgt:11634,217
imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_diffuse_large_B_cell_(DLBCL)_458,218
imgt:Decision_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_diffuse_large_B_cell_(DLBCL)_458_2_FDA,219
imgt:StudyProduct_KaloBios_Pharmaceuticals_Inc_Hematologic_malignancies_572,220
imgt:Hematologic_malignancies,221
imgt:Construct_1350,222
imgt:IgG1 - kappa - 8cys - drug,223
imgt:Construct_1388,224
imgt:Struct-124841,225
imgt:Decision_Sorin_Radiofarmaci_SRL_Cutaneous_melanoma_lesions_141_2_EC,226
imgt:EC,227
imgt:mAb_306,228
imgt:Product_Immunomedics_Inc_306,229
imgt:StudyProduct_Spectrum_Pharmaceuticals_Inc_Non-Hodgkins_lymphoma_(NHL)_1157,230
imgt:Non-Hodgkins_lymphoma_(NHL),231
imgt:mAb_52,232
imgt:Clone_52,233
imgt:Small_lymphocytic_lymphoma_(SLL),234
imgt:Hematology,235
imgt:Decision_Genentech_Inc_Giant_cell_arteritis_96_1_FDA,236
imgt:StudyProduct_Genentech_Inc_Giant_cell_arteritis_96,237
imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_anal_424,238
imgt:Cancers_anal,239
imgt:StudyProduct_Biogen_Inc_Cancers_313,240
imgt:Cancers,241
imgt:Product_University_of_California_865,242
imgt:University_of_California,243
imgt:Clone_1259,244
imgt:mAb_1259,245
imgt:Construct_952,246
imgt:Struct-111451,247
imgt:StudyProduct_Ono_Pharmaceutical_Co_Ltd_Cancers_head_and_neck_424,248
imgt:Cancers_head_and_neck,249
imgt:Construct_876,250
imgt:mAb_876,251
imgt:D-sequence,252
imgt:cDNA,253
imgt:StudyProduct_University_of_Saskatchewan_Cancers_gastric_67,254
imgt:_Sp2/0_mouse_hybridoma_cells,255
imgt:Construct_981,256
imgt:Construct_1346,257
imgt:mAb_1346,258
imgt:Product_BioNTech_SE_1119,259
imgt:mAb_1119,260
imgt:Product_Gilead_533,261
imgt:StudyProduct_Gilead_Crohns_disease_(CD)_533,262
HGNC:19137,263
imgt:mAb_1289,264
imgt:mAb_976,265
HGNC:26838,266
imgt:Construct_1194,267
imgt:StudyProduct_EUSA_Pharma_Neuroblastoma_568,268
imgt:Decision_EUSA_Pharma_Neuroblastoma_568_1_EMA,269
imgt:StudyProduct_Gilead_Solid_tumors_1225,270
imgt:Cancers_non-small_cell_lung_(NSCLC),271
imgt:StudyProduct_Symphogen_Cancers_non-small_cell_lung_(NSCLC)_433,272
imgt:Decision_Fresenius_Biotech_GmbH_Malignant_ascites_218_2_EMA,273
imgt:StudyProduct_Fresenius_Biotech_GmbH_Malignant_ascites_218,274
imgt:Product_Neovii_Biotech_GmbH_218,275
imgt:StudyProduct_Neovii_Biotech_GmbH_Malignant_ascites_218,276
HGNC:2095,277
imgt:mAb_672,278
imgt:Product_Singh_biotechnology_672,279
imgt:mAb_500,280
imgt:Construct_500,281
imgt:StudyProduct_Merck_KgaA_Cancers_colorectal_(CRC)_489,282
imgt:StudyProduct_AbbVie_Inc_Solid_tumors_advanced_or_metastatic_959,283
imgt:F(ab’)2-Gamma-2-c_Lambda,284
imgt:IG-Light-Lambda-IGL,285
imgt:StudyProduct_Center_of_Molecular_Immunology_(CMI)_Cancers_breast_225,286
imgt:Product_Center_of_Molecular_Immunology_(CMI)_225,287
imgt:Cancers_prostate,288
imgt:StudyProduct_Weill_Cornell_Medical_Cancers_prostate_1028,289
imgt:Melanoma_metastatic,290
